"GLENOGIL (WATERWORKS)",,,,,,,,,,,,
Grid ref,NO445625,Long,-2.909159,Lat,56.750803,,,,,,,
Station no,5605,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.48,1.80,0.78,2.03,1.66,4.58,4.66,3.97,2.13,4.88,,
February,4.06,0.78,1.12,4.25,2.59,1.66,4.19,2.82,0.52,3.98,,
March,1.76,5.33,0.63,2.50,1.60,2.55,3.92,6.20,2.69,3.21,,
April,2.39,1.24,3.30,1.11,1.00,1.21,1.31,1.15,2.66,3.20,,
May,1.67,3.26,1.96,5.46,2.18,0.97,2.44,3.68,1.14,1.96,,
June,2.43,2.57,2.47,2.30,1.65,3.29,1.98,3.04,3.30,2.52,,
July,3.78,2.50,3.94,2.72,1.12,5.14,6.79,4.83,3.52,3.67,,
August,5.32,3.84,2.42,3.56,0.66,6.57,4.87,3.82,1.05,5.13,,
September,2.28,1.04,3.28,3.37,1.66,4.78,2.85,3.94,0.73,2.25,,
October,0.80,3.82,1.68,6.87,2.21,2.72,2.01,2.64,4.01,10.61,,
November,10.13,2.66,3.09,7.84,2.68,0.83,1.70,1.19,7.45,4.92,,
December,3.17,2.96,4.58,3.96,6.71,5.33,5.64,5.78,8.15,2.66,,
Total,41.27,31.80,29.25,45.97,25.72,39.63,42.36,43.06,37.35,48.99,,
Calc annual,41.27,31.80,29.25,45.97,25.72,39.63,42.36,43.06,37.35,48.99,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
