"GREENFIELD (UPPERWOOD MOOR)",,,,,,,,,,,,
Grid ref,SE031063,Long,-1.954680,Lat,53.553320,,,,,,,
Station no,3098/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.06,6.32,2.98,5.33,4.67,7.97,5.40,5.82,5.20,6.55,,
February,4.84,2.38,2.89,4.32,3.03,2.91,4.15,7.46,0.78,3.50,,
March,6.85,3.55,2.85,3.56,3.60,1.71,4.73,3.68,3.14,1.76,,
April,3.54,4.36,3.97,1.20,2.75,3.73,1.24,1.88,5.31,3.09,,
May,4.61,2.56,2.97,4.58,5.55,2.21,1.39,4.97,2.19,2.69,,
June,1.40,3.70,4.67,4.90,4.19,4.14,2.73,6.96,2.55,2.37,,
July,4.56,4.13,9.36,7.90,1.27,9.03,6.43,5.42,4.61,11.82,,
August,7.81,4.46,5.62,8.65,0.52,13.56,7.08,6.03,0.62,8.12,,
September,3.35,5.20,3.66,6.78,3.27,5.93,8.55,6.68,0.39,4.86,,
October,1.24,6.93,2.52,8.81,3.13,3.37,7.32,4.89,4.68,8.95,,
November,10.34,3.69,5.10,7.50,2.36,2.44,3.87,2.02,5.54,6.62,,
December,7.96,4.79,2.54,8.76,6.17,5.85,6.06,5.67,8.21,6.14,,
Total,62.56,52.07,49.13,72.29,40.51,62.85,58.95,61.48,43.22,66.47,,
Calc annual,62.56,52.07,49.13,72.29,40.51,62.85,58.95,61.48,43.22,66.47,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
