"KINGSTON (CANBURY GARDENS)",,,,,,,,,,,,
Grid ref,TQ179700,Long,-0.305935,Lat,51.416766,,,,,,,
Station no,155/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.20,1.71,0.90,1.16,2.32,3.66,1.48,1.86,2.27,1.73,,
February,5.60,0.84,1.13,1.96,1.35,0.40,2.94,2.28,0.06,1.48,,
March,2.90,2.85,0.37,2.15,0.92,0.67,0.86,1.59,1.89,1.63,,
April,2.47,1.34,1.84,0.29,0.25,1.06,0.27,1.06,1.82,0.63,,
May,1.99,2.34,1.24,2.11,3.76,0.18,1.54,2.38,0.93,1.69,,
June,0.81,2.41,1.41,4.05,2.50,1.97,0.68,4.14,0.95,1.32,,
July,1.06,0.55,4.30,2.85,0.49,4.59,2.93,1.81,1.52,3.73,,
August,2.72,3.07,1.27,2.76,0.74,2.38,5.73,3.54,1.15,2.80,,
September,2.62,2.97,2.52,2.11,1.84,1.95,2.30,4.22,0.03,2.50,,
October,0.67,2.70,2.95,2.08,2.43,1.62,1.69,2.56,1.95,5.09,,
November,5.50,3.09,1.10,3.74,0.77,0.43,2.43,1.71,2.65,3.37,,
December,2.04,2.24,0.59,1.82,2.03,2.71,1.86,2.73,3.02,2.16,,
Total,31.58,26.11,19.62,27.08,19.40,21.62,24.71,29.88,18.24,28.13,,
Calc annual,31.58,26.11,19.62,27.08,19.40,21.62,24.71,29.88,18.24,28.13,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
