"KILPATRICK HILLS ( LOCH COCHNO )",,,,,,,,,,,,
Grid ref,NS489765,Long,-4.421854,Lat,55.957681,,,,,,,
Station no,5339,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.96,4.50,3.52,5.76,3.30,3.07,,4.79,2.42,4.49,,
February,2.75,2.64,3.44,5.70,2.12,1.49,,2.58,2.77,4.17,,
March,4.28,4.52,2.00,3.66,1.55,3.51,,2.25,2.86,2.41,,
April,3.08,2.61,2.53,2.74,3.11,0.73,,2.04,3.98,4.84,,
May,1.52,2.17,2.31,5.46,5.77,2.50,,4.24,1.37,3.09,,
June,3.02,4.86,2.04,4.73,4.26,2.77,,3.70,3.64,3.47,,
July,5.72,4.37,7.00,4.95,1.76,,,6.14,7.46,5.91,,
August,7.50,5.47,5.05,6.39,1.22,,,5.60,1.37,4.12,,
September,4.25,3.56,5.67,8.81,6.73,,,4.62,1.93,3.77,,
October,1.80,6.09,2.40,11.77,4.72,,,5.62,5.61,3.70,,
November,6.62,2.79,9.91,8.05,3.13,,,2.47,6.75,5.99,,
December,8.06,6.19,6.44,8.60,7.80,,,4.82,6.87,6.35,,
Total,55.56,49.77,52.31,76.62,45.47,,,48.87,47.03,52.31,,
Calc annual,55.56,49.77,52.31,76.62,45.47,14.07,0.00,48.87,47.03,52.31,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,0.00,0.00,-0.00,,
