"SOYLAND MOOR (SUMMIT) EAST",,,,,,,,,,,,
Grid ref,SD982179,Long,-2.028712,Lat,53.657589,,,,,,,
Station no,3218,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.37,4.40,1.85,4.03,3.65,6.01,5.15,4.55,4.53,5.10,,
February,3.27,1.69,3.19,4.10,2.78,1.74,3.34,7.77,0.77,3.33,,
March,6.05,3.28,2.57,3.85,2.97,1.94,4.47,2.67,2.64,1.87,,
April,2.63,3.79,3.47,0.79,2.55,3.29,0.62,1.42,4.55,3.05,,
May,3.08,1.97,3.80,3.96,4.48,1.89,1.88,5.26,2.57,2.21,,
June,1.56,4.05,3.16,4.11,3.68,3.99,2.64,6.31,2.66,2.03,,
July,4.80,2.96,6.28,6.72,1.20,8.10,5.99,5.84,3.80,7.76,,
August,6.26,5.11,5.38,7.44,1.69,12.09,7.65,6.67,0.62,5.91,,
September,3.17,4.11,3.75,7.19,3.28,4.95,6.33,6.28,0.54,3.42,,
October,1.54,5.60,2.64,9.82,3.05,3.31,7.29,5.34,4.85,5.36,,
November,9.77,2.83,5.80,7.48,2.83,2.28,3.54,2.19,5.67,8.40,,
December,8.72,4.06,2.10,8.48,7.10,5.15,6.43,5.34,8.06,4.67,,
Total,56.22,43.85,43.99,67.97,39.26,54.74,55.33,59.64,41.26,53.11,,
Calc annual,56.22,43.85,43.99,67.97,39.26,54.74,55.33,59.64,41.26,53.11,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
