"PENTLAND HILLS (CROSSWOOD)",,,,,,,,,,,,
Grid ref,NT056575,Long,-3.507482,Lat,55.801528,,,,,,,
Station no,5125,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.20,2.76,1.44,3.57,2.37,1.93,4.77,2.81,0.90,3.53,,
February,2.85,0.98,1.55,2.42,1.70,1.91,2.70,2.11,1.23,2.90,,
March,3.69,1.82,0.69,2.09,1.59,2.52,3.67,1.54,1.65,1.94,,
April,3.97,2.07,3.07,1.86,1.26,0.85,2.14,1.58,2.48,2.18,,
May,2.60,1.49,2.72,5.47,3.14,1.79,2.38,2.97,2.03,1.50,,
June,1.80,3.06,2.00,3.35,1.95,3.38,2.56,2.51,2.34,1.34,,
July,3.31,2.84,5.42,3.30,2.32,5.40,4.21,5.03,4.04,3.10,,
August,5.17,3.70,2.62,5.69,1.98,5.77,5.60,4.48,0.82,3.30,,
September,2.48,3.25,3.39,5.34,3.41,4.48,2.15,4.68,0.84,1.77,,
October,0.96,2.60,1.88,7.79,2.87,2.95,3.67,2.38,3.43,3.82,,
November,5.72,3.14,6.62,5.77,1.71,1.51,1.98,1.46,7.05,4.40,,
December,5.05,4.06,4.05,5.68,6.00,5.16,5.01,5.84,4.58,4.58,,
Total,41.80,31.77,35.45,52.33,30.30,37.65,40.84,37.39,31.39,34.36,,
Calc annual,41.80,31.77,35.45,52.33,30.30,37.65,40.84,37.39,31.39,34.36,,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
