"WIGAN W.W. (BILLINGE HIGHER END)",,,,,,,,,,,,
Grid ref,SD525030,Long,-2.717906,Lat,53.521510,,,,,,,
Station no,2993/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.49,4.29,2.03,3.17,2.56,5.50,2.26,3.08,3.26,5.42,,
February,2.56,1.34,1.38,3.09,2.47,0.60,2.99,6.60,0.48,2.40,,
March,4.83,2.09,1.50,2.60,2.08,1.17,3.11,1.98,1.68,1.89,,
April,1.75,4.24,2.80,0.89,2.19,2.49,0.65,1.10,3.09,2.16,,
May,3.65,2.22,2.44,2.63,3.26,1.30,1.76,4.03,2.06,2.80,,
June,1.17,3.44,2.05,3.18,3.77,2.30,1.67,5.41,2.63,1.94,,
July,2.59,2.30,4.10,5.55,0.99,5.78,5.71,4.48,3.67,6.90,,
August,5.08,3.56,4.09,5.00,1.52,12.29,5.06,3.52,0.36,4.56,,
September,3.55,3.70,4.31,4.32,4.52,3.52,6.86,4.64,0.27,3.62,,
October,1.10,4.85,2.32,7.24,2.55,2.82,5.22,3.82,3.90,4.46,,
November,9.00,2.39,4.20,6.65,2.17,1.98,1.53,1.89,5.92,6.52,,
December,7.34,3.55,1.47,4.59,5.56,2.94,4.11,4.19,7.07,4.50,,
Total,46.11,37.97,32.69,48.91,33.64,42.69,40.93,44.74,34.39,47.17,,
Calc annual,46.11,37.97,32.69,48.91,33.64,42.69,40.93,44.74,34.39,47.17,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
