"MELROSE (DINGLETON HOSPITAL)",,,,,,,,,,,,
Grid ref,NT543332,Long,-2.726643,Lat,55.590278,,,,,,,
Station no,5056,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.77,2.04,0.45,2.85,2.09,1.67,3.42,2.23,1.41,3.47,,
February,2.27,0.53,0.71,1.81,1.98,1.62,2.97,2.36,0.51,3.00,,
March,2.36,0.91,0.46,1.97,1.23,1.09,1.51,1.51,0.75,1.67,,
April,2.01,0.64,1.83,0.77,0.28,0.44,0.53,1.84,2.16,1.14,,
May,2.52,2.02,1.81,4.73,1.53,0.82,1.72,2.26,0.50,2.01,,
June,0.95,2.62,1.11,2.79,0.96,2.33,1.28,3.15,3.86,0.78,,
July,3.38,-999.00,3.12,2.28,1.83,4.60,2.98,4.93,2.08,2.39,,
August,2.69,-999.00,1.98,3.97,0.44,9.13,3.72,2.38,0.62,4.06,,
September,1.66,-999.00,2.82,3.13,1.11,3.47,1.53,2.01,0.80,1.17,,
October,0.21,3.54,1.63,4.80,1.41,1.52,1.98,1.53,2.31,3.51,,
November,5.56,-999.00,2.63,3.24,1.14,0.53,0.98,0.67,4.66,2.82,,
December,2.51,-999.00,1.87,2.56,3.41,2.53,1.81,4.13,2.63,2.80,,
Total,28.89,-999.00,20.42,34.90,17.41,29.75,24.43,29.00,22.29,28.82,,
Calc annual,28.89,12.30,20.42,34.90,17.41,29.75,24.43,29.00,22.29,28.82,,
Difference,0.00,-1011.30,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
