"CLATTERINGSHAWS (TUNNEL INTAKE)",,,,,,,,,,,,
Grid ref,NX554780,Long,-4.266404,Lat,55.075330,,,,,,,
Station no,5015/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.14,8.20,3.60,6.91,5.84,4.51,6.78,7.47,3.24,7.54,,
February,4.89,1.99,2.44,6.79,3.16,1.27,4.68,4.93,3.09,7.93,,
March,5.01,5.14,0.85,4.60,2.91,3.14,5.89,1.68,5.45,2.17,,
April,4.25,3.44,3.30,1.86,3.35,1.99,2.67,2.06,5.24,7.59,,
May,2.54,3.68,4.19,4.73,5.16,2.80,3.73,4.29,1.67,2.83,,
June,3.22,3.58,2.17,5.72,3.95,4.09,2.08,4.38,4.09,3.52,,
July,3.39,4.11,8.14,4.40,2.37,5.61,6.45,4.27,5.14,5.67,,
August,10.62,5.94,4.55,4.65,-999.00,8.42,5.78,5.28,1.00,5.51,,
September,7.71,4.02,9.33,8.99,4.21,6.00,5.47,7.58,1.88,4.85,,
October,0.99,7.21,5.94,12.81,4.61,5.20,6.04,6.91,8.26,6.46,,
November,13.68,4.23,9.27,12.08,4.06,3.43,3.59,2.90,9.15,11.42,,
December,14.30,6.43,5.93,9.04,9.34,6.77,8.24,6.59,12.19,7.87,,
Total,78.74,57.97,59.71,82.58,50.79,53.23,61.40,58.34,60.40,73.36,,
Calc annual,78.74,57.97,59.71,82.58,48.96,53.23,61.40,58.34,60.40,73.36,,
Difference,0.00,0.00,0.00,-0.00,1.83,-0.00,-0.00,0.00,0.00,0.00,,
