"KELDER (OH ME EDGE)",,,,,,,,,,,,
Grid ref,NY705988,Long,-2.465966,Lat,55.282441,,,,,,,
Station no,3580/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.72,4.40,2.78,4.30,5.00,,,,,,,
February,3.05,1.10,2.80,3.59,,,,,,,,
March,2.81,2.45,1.00,4.14,,,,,,,,
April,3.27,4.06,4.02,0.99,,,,,,,,
May,2.31,1.48,2.42,5.32,,,,,,,,
June,1.55,2.73,3.57,2.88,,,,,,,,
July,2.65,2.15,4.91,5.54,,,,,,,,
August,3.26,5.51,4.29,8.56,,,,,,,,
September,5.24,3.00,5.08,4.20,,,,,,,,
October,1.35,6.28,2.70,8.75,,,,,,,,
November,7.06,4.75,4.22,6.50,,,,,,,,
December,6.03,6.01,3.12,7.00,,,,,,,,
Total,42.30,43.92,40.91,61.77,,,,,,,,
Calc annual,42.30,43.92,40.91,61.77,5.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
