"LEICESTER (TOWERS HOSPITAL)",,,,,,,,,,,,
Grid ref,SK623042,Long,-1.080938,Lat,52.631987,,,,,,,
Station no,2503,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.57,2.65,0.92,1.47,2.61,4.23,1.43,2.97,3.33,5.63,,
February,3.13,1.09,1.65,2.54,2.39,1.29,3.61,3.60,0.02,1.88,,
March,3.40,3.00,1.74,2.15,3.22,1.17,2.22,2.02,1.80,1.48,,
April,2.32,2.01,2.24,0.50,1.30,1.23,0.18,0.69,1.96,0.84,,
May,3.08,3.06,1.71,3.89,4.77,0.85,1.70,1.96,0.40,1.21,,
June,1.26,2.32,3.07,2.89,3.61,3.18,2.11,4.91,1.22,3.06,,
July,1.54,0.35,2.22,2.29,2.44,4.86,3.91,4.15,2.15,4.28,,
August,4.11,3.11,2.72,4.59,0.57,5.29,2.69,1.95,0.81,4.72,,
September,1.31,1.32,1.34,1.93,1.63,2.01,4.42,2.69,0.14,4.31,,
October,0.75,2.91,3.15,3.30,1.54,1.75,1.21,2.04,2.15,5.82,,
November,4.93,2.22,1.55,5.01,1.34,0.93,2.19,1.64,2.02,3.42,,
December,1.84,2.74,0.96,2.85,2.08,2.60,2.17,2.71,3.53,4.00,,
Total,30.24,26.78,23.27,33.41,27.50,29.39,27.84,31.33,19.53,40.65,,
Calc annual,30.24,26.78,23.27,33.41,27.50,29.39,27.84,31.33,19.53,40.65,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
