"TAF FECHAN (NEUADD RESERVOIR)",,,,,,,,,,,,
Grid ref,SO032184,Long,-3.406924,Lat,51.855765,,,,,,,
Station no,4161,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.31,8.17,2.66,4.98,7.71,11.52,13.09,7.85,,,,
February,8.14,1.87,4.30,7.57,3.59,1.01,8.46,12.47,,,,
March,7.94,5.88,6.28,6.06,4.17,3.56,9.78,2.33,,,,
April,6.61,5.26,5.73,1.69,4.31,2.15,0.68,2.53,,,,
May,4.27,6.60,4.54,4.79,8.83,2.10,3.02,6.46,,,,
June,2.51,5.12,2.51,7.83,9.65,4.77,1.31,5.21,,,,
July,2.08,3.13,9.09,6.44,0.76,6.77,8.52,6.75,,,,
August,10.19,10.89,5.22,8.88,1.98,8.49,6.75,8.03,,,,
September,7.07,5.53,7.11,10.65,4.33,7.58,11.32,13.49,,,,
October,2.15,7.87,4.33,16.64,3.97,3.98,9.77,8.74,,,,
November,14.02,8.39,7.81,14.54,5.55,2.95,4.10,4.40,,,,
December,9.13,7.75,2.35,9.72,14.22,9.00,9.43,7.90,,,,
Total,83.42,76.46,61.93,99.79,69.07,63.88,86.23,86.16,,,,
Calc annual,83.42,76.46,61.93,99.79,69.07,63.88,86.23,86.16,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,,
