"BURGHILL HOSPITAL",,,,,,,,,,,,
Grid ref,SO482433,Long,-2.757386,Lat,52.085615,,,,,,,
Station no,2235,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.29,1.86,0.52,2.27,3.23,3.67,1.11,1.52,4.12,4.43,,
February,3.05,0.50,1.48,2.10,1.49,0.36,2.79,4.38,0.23,1.67,,
March,3.92,1.86,1.09,2.56,2.29,0.60,1.58,1.09,2.69,1.33,,
April,2.34,1.83,2.41,0.26,0.76,2.52,0.11,0.23,3.12,1.81,,
May,3.76,2.80,1.51,1.86,5.01,0.33,1.91,2.19,2.06,1.11,,
June,0.75,2.04,1.44,3.40,4.62,2.47,0.94,3.29,2.42,2.57,,
July,0.66,0.96,1.91,1.58,0.34,5.41,2.21,4.14,1.62,1.84,,
August,2.92,5.83,3.06,3.36,0.67,3.76,4.91,2.20,0.19,3.67,,
September,2.04,1.62,2.71,1.42,0.63,2.57,4.47,5.95,0.26,4.05,,
October,0.78,3.65,2.18,2.75,1.54,1.63,0.90,2.59,1.75,6.11,,
November,5.81,3.15,1.70,6.39,3.28,0.94,1.99,3.08,2.72,3.63,,
December,2.23,2.31,1.26,2.10,3.30,2.68,3.16,2.99,5.31,2.84,,
Total,30.55,28.41,21.27,30.05,27.16,26.94,26.08,33.65,26.49,35.06,,
Calc annual,30.55,28.41,21.27,30.05,27.16,26.94,26.08,33.65,26.49,35.06,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
