"EAST GORDON HOSPITAL",,,,,,,,,,,,
Grid ref,NT658434,Long,-2.545465,Lat,55.682869,,,,,,,
Station no,5087/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.02,,
February,,,,,,,,,,3.17,,
March,,,,,,,,,,1.88,,
April,,,,,,,,,,1.73,,
May,,,,,,,,,,1.95,,
June,,,,,,,,,,0.91,,
July,,,,,,,,,,2.98,,
August,,,,,,,,,0.70,3.76,,
September,,,,,,,,,0.67,1.30,,
October,,,,,,,,,2.38,5.41,,
November,,,,,,,,,5.58,2.88,,
December,,,,,,,,,-999.00,2.11,,
Total,,,,,,,,,,32.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.33,32.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
