"STIRLING (SAUCHIE HOUSE)",,,,,,,,,,,,
Grid ref,NS793936,Long,-3.942972,Lat,56.119835,,,,,,,
Station no,5358,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.39,3.01,1.04,4.11,2.10,2.75,6.25,3.92,1.58,3.62,,
February,2.92,0.55,1.07,4.03,2.27,1.36,3.42,2.18,1.31,3.64,,
March,2.02,3.08,1.82,3.72,1.76,2.48,3.29,1.26,1.95,2.05,,
April,1.94,1.17,1.92,1.45,1.30,0.61,1.34,0.84,3.27,3.55,,
May,1.46,2.48,2.03,4.71,3.06,1.73,3.16,2.67,1.19,2.99,,
June,1.62,2.40,1.99,2.06,1.31,3.56,2.37,2.99,1.94,2.09,,
July,4.14,2.14,4.60,1.75,0.74,4.88,4.66,6.03,5.64,3.05,,
August,5.91,5.30,2.46,4.09,1.16,5.76,4.49,4.67,0.94,2.93,,
September,3.73,2.06,5.10,4.86,2.36,5.29,1.91,4.76,0.79,2.75,,
October,0.59,4.07,1.91,8.54,2.80,4.65,3.38,4.05,3.08,3.65,,
November,5.43,1.77,5.87,6.95,1.90,0.57,1.07,1.47,4.30,4.85,,
December,5.40,3.51,4.79,5.17,7.29,4.81,5.33,5.96,6.13,3.71,,
Total,39.55,31.54,34.60,51.44,28.05,38.45,40.67,40.80,32.12,38.88,,
Calc annual,39.55,31.54,34.60,51.44,28.05,38.45,40.67,40.80,32.12,38.88,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
