"KINGUSSIE",,,,,,,,,,,,
Grid ref,NH760009,Long,-4.047494,Lat,57.082351,,,,,,,
Station no,5698,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.41,3.78,2.71,3.64,2.55,2.94,5.77,3.46,,,,
February,2.65,2.53,2.85,1.95,2.75,2.50,2.59,2.45,,,,
March,1.54,1.57,1.25,1.83,1.03,1.88,2.91,1.60,,,,
April,3.71,1.95,2.19,1.10,0.96,1.66,0.92,1.59,,,,
May,1.76,2.56,1.55,3.76,2.48,2.03,0.57,3.16,,,,
June,1.12,3.46,2.33,2.01,1.52,1.88,2.27,,,,,
July,2.52,1.89,2.99,1.78,0.45,3.22,3.81,,,,,
August,4.75,3.79,2.41,2.41,1.01,5.48,3.92,,,,,
September,1.76,2.81,2.97,3.30,3.11,4.33,1.93,,,,,
October,1.50,3.99,1.07,6.76,4.02,4.09,2.93,,,,,
November,3.84,3.46,5.19,3.86,0.95,2.96,1.96,,,,,
December,4.39,4.71,4.03,7.84,6.57,5.27,3.80,,,,,
Total,32.95,36.50,31.54,40.24,27.40,38.24,33.38,,,,,
Calc annual,32.95,36.50,31.54,40.24,27.40,38.24,33.38,12.26,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
