"CRANAGE HALL HOSPITAL",,,,,,,,,,,,
Grid ref,SJ750683,Long,-2.375797,Lat,53.211169,,,,,,,
Station no,2773/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.05,2.75,0.96,2.10,2.30,4.09,1.25,2.65,2.44,4.32,,
February,1.82,1.90,1.33,2.21,1.87,0.46,1.88,3.67,0.32,1.68,,
March,4.35,1.63,1.55,2.37,2.16,1.10,2.34,1.41,1.34,0.95,,
April,2.49,2.67,3.00,0.49,1.76,2.24,0.36,0.82,3.54,1.06,,
May,2.80,1.70,1.73,2.28,2.69,0.81,1.09,1.88,1.67,1.71,,
June,1.11,1.91,1.99,3.69,2.76,2.09,1.13,4.75,1.64,3.26,,
July,1.80,2.06,2.71,3.62,0.59,4.94,4.14,3.57,2.06,2.70,,
August,3.31,1.64,3.11,3.76,0.71,10.04,3.54,2.90,0.70,3.01,,
September,1.75,2.58,2.36,3.14,1.82,1.79,5.97,3.43,0.12,3.54,,
October,0.99,3.11,1.93,4.85,1.49,2.33,2.58,2.59,2.17,3.84,,
November,6.27,1.99,2.18,4.92,1.34,1.26,1.30,1.63,3.12,5.42,,
December,3.86,3.40,1.23,3.93,2.91,2.40,1.90,3.06,4.00,2.86,,
Total,32.60,27.34,24.08,37.36,22.40,33.55,27.48,32.36,23.12,34.35,,
Calc annual,32.60,27.34,24.08,37.36,22.40,33.55,27.48,32.36,23.12,34.35,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
