"BELFAST (OLDPARK FILTERS)",,,,,,,,,,,,
Grid ref,IJ323775,Long,-5.951922,Lat,54.628481,,,,,,,
Station no,6217,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.60,4.73,1.78,3.05,4.05,4.19,4.85,4.76,2.52,3.75,,
February,3.52,1.04,1.61,4.57,3.87,1.31,2.52,6.49,1.36,2.53,,
March,3.16,1.61,0.41,4.96,1.27,1.77,3.78,2.19,2.89,2.55,,
April,2.08,1.77,2.09,0.75,3.03,1.50,2.04,2.07,2.72,2.93,,
May,2.94,1.25,2.49,4.03,3.15,1.85,2.95,3.88,1.94,2.19,,
June,2.32,3.19,1.53,3.05,5.26,3.27,1.20,7.83,2.64,2.55,,
July,4.99,2.19,6.39,4.17,1.64,3.77,4.39,4.79,4.36,5.31,,
August,5.61,6.16,3.30,2.87,1.18,6.69,3.93,4.66,0.87,5.30,,
September,3.10,2.26,2.67,5.13,4.79,4.19,5.93,5.46,1.53,2.83,,
October,0.73,4.39,2.17,7.08,2.83,3.15,4.55,2.09,3.28,5.38,,
November,8.11,3.42,4.23,7.27,3.31,2.12,2.10,2.35,3.43,5.04,,
December,5.85,5.05,3.62,6.66,6.84,6.10,5.53,6.13,6.07,2.36,,
Total,46.01,37.06,32.29,53.59,41.22,39.91,43.77,52.70,33.61,42.72,,
Calc annual,46.01,37.06,32.29,53.59,41.22,39.91,43.77,52.70,33.61,42.72,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
