"ST MINVER (LUNDY BAY)",,,,,,,,,,,,
Grid ref,SW965770,Long,-4.874368,Lat,50.557242,,,,,,,
Station no,1891,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.84,4.96,,,,,,,,,,
February,3.25,1.09,,,,,,,,,,
March,5.43,3.90,,,,,,,,,,
April,2.81,2.88,,,,,,,,,,
May,3.33,2.59,,,,,,,,,,
June,0.77,1.17,,,,,,,,,,
July,0.90,1.15,,,,,,,,,,
August,5.80,3.45,,,,,,,,,,
September,3.25,3.35,,,,,,,,,,
October,1.77,4.71,,,,,,,,,,
November,5.97,4.28,,,,,,,,,,
December,4.65,3.69,,,,,,,,,,
Total,43.77,37.22,,,,,,,,,,
Calc annual,43.77,37.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
