"GLASGOW (QUEEN'S PARK)",,,,,,,,,,,,
Grid ref,NS578619,Long,-4.271751,Lat,55.829324,,,,,,,
Station no,5205/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.22,4.43,1.23,5.01,2.88,2.13,5.62,3.93,1.20,3.14,,
February,2.69,1.33,1.34,3.42,2.51,0.96,2.35,2.37,1.47,3.35,,
March,2.67,2.32,0.90,2.57,1.96,1.69,3.67,0.94,1.62,1.77,,
April,2.47,1.96,1.70,1.41,1.35,0.92,1.92,1.17,2.80,2.75,,
May,1.90,1.71,2.21,3.26,3.30,2.03,2.26,2.66,1.23,2.80,,
June,2.24,2.80,1.56,3.03,1.88,2.71,1.78,3.12,3.17,2.03,,
July,2.90,2.22,4.26,3.56,1.79,4.55,3.37,4.44,4.30,3.98,,
August,4.47,3.04,3.88,5.39,1.21,4.97,3.85,4.85,0.54,2.94,,
September,3.07,3.11,3.10,4.48,3.23,4.56,2.73,3.68,1.00,2.53,,
October,0.85,3.81,2.17,8.75,2.61,2.93,3.80,3.32,4.94,2.59,,
November,5.88,1.99,5.80,5.92,1.65,1.27,1.66,1.67,4.13,4.69,,
December,5.61,3.48,4.59,4.86,5.61,4.46,3.47,4.39,6.44,4.78,,
Total,38.97,32.20,32.74,51.66,29.98,33.18,36.48,36.54,32.84,37.35,,
Calc annual,38.97,32.20,32.74,51.66,29.98,33.18,36.48,36.54,32.84,37.35,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
