"CHARMOUTH (THE MOORINGS)",,,,,,,,,,,,
Grid ref,SY362931,Long,-2.905412,Lat,50.733995,,,,,,,
Station no,1593/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.81,1.87,,,,,,,,
February,,,2.35,3.54,,,,,,,,
March,,,0.50,4.33,,,,,,,,
April,,,2.80,0.21,,,,,,,,
May,,,2.96,1.64,,,,,,,,
June,,,1.86,2.58,,,,,,,,
July,,,2.83,2.85,,,,,,,,
August,,,2.25,3.44,,,,,,,,
September,,,2.66,3.61,,,,,,,,
October,,,3.34,2.81,,,,,,,,
November,,,1.56,7.23,,,,,,,,
December,,,0.45,3.40,,,,,,,,
Total,,,24.37,37.51,,,,,,,,
Calc annual,0.00,0.00,24.37,37.51,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
