"BARLEY (OGDEN RESERVOIR)",,,,,,,,,,,,
Grid ref,SD817398,Long,-2.279682,Lat,53.854103,,,,,,,
Station no,2986/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.13,7.58,2.72,5.53,2.84,5.33,6.08,3.82,3.91,7.28,,
February,4.48,1.76,3.57,3.36,3.06,1.64,3.63,9.35,1.23,3.34,,
March,5.57,3.06,2.40,3.29,1.94,2.46,5.55,2.19,1.94,1.62,,
April,3.05,3.21,3.77,1.62,3.50,2.99,0.99,1.98,3.23,3.56,,
May,1.74,2.10,2.47,3.22,4.60,3.07,2.12,6.05,2.05,2.02,,
June,1.59,4.63,2.32,3.98,4.35,2.95,2.59,5.36,3.70,1.67,,
July,4.82,3.67,7.45,9.44,1.30,5.88,7.16,4.02,4.83,11.73,,
August,6.11,9.80,7.42,8.82,1.28,14.47,6.87,4.75,0.66,7.10,,
September,5.35,6.13,5.84,8.34,4.04,5.70,7.98,6.60,0.51,3.19,,
October,1.54,4.12,2.21,11.18,3.78,3.47,9.71,4.15,7.10,3.69,,
November,10.15,2.77,7.46,7.44,2.06,2.29,2.10,2.44,5.91,8.38,,
December,12.86,5.36,3.36,9.51,8.80,5.63,7.53,4.54,8.52,6.34,,
Total,63.39,54.19,50.99,75.73,42.55,55.88,62.31,55.25,43.59,59.92,,
Calc annual,63.39,54.19,50.99,75.73,41.55,55.88,62.31,55.25,43.59,59.92,,
Difference,0.00,-0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,
