"GLENOGIL W.W.",,,,,,,,,,,,
Grid ref,NO445625,Long,-2.909159,Lat,56.750803,,,,,,,
Station no,5605/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.63,4.53,,4.01,2.10,,,
February,,,,,2.44,1.60,4.24,2.63,0.50,,,
March,,,,,1.73,2.58,3.88,6.18,2.60,,,
April,,,,,0.99,1.17,1.30,1.13,2.60,,,
May,,,,,2.12,0.91,2.42,3.60,1.15,,,
June,,,,,1.67,3.24,2.00,3.30,3.15,,,
July,,,,,1.10,5.12,6.76,4.81,3.40,,,
August,,,,,0.64,6.55,4.85,3.57,1.01,,,
September,,,,,1.64,4.75,2.83,3.97,0.72,,,
October,,,,,2.20,2.66,1.98,2.60,3.94,,,
November,,,,,2.61,0.78,1.67,1.15,7.33,,,
December,,,,,6.68,5.37,5.16,5.67,7.87,,,
Total,,,,,25.45,39.26,,42.62,36.37,,,
Calc annual,0.00,0.00,0.00,0.00,25.45,39.26,37.09,42.62,36.37,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,NaN,-0.00,0.00,NaN,,
