"WALSDEN (WARLAND DRAIN)",,,,,,,,,,,,
Grid ref,SD971217,Long,-2.045393,Lat,53.691738,,,,,,,
Station no,3226,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.33,7.02,1.58,3.80,2.73,8.84,7.30,6.32,4.59,6.46,,
February,4.56,2.02,2.87,4.36,2.06,1.87,4.31,8.25,0.92,5.08,,
March,6.34,3.71,2.23,2.83,2.01,2.26,5.35,3.14,2.51,2.19,,
April,4.33,3.86,3.15,0.53,2.23,3.78,0.62,2.02,4.36,4.15,,
May,2.38,2.18,2.93,2.87,3.85,2.57,2.21,5.79,2.32,2.69,,
June,2.19,4.54,2.42,2.88,3.35,3.91,3.23,6.28,2.78,2.17,,
July,4.67,2.28,4.65,3.90,1.22,8.56,7.01,5.66,3.94,8.43,,
August,6.57,5.67,4.69,6.07,0.99,11.61,7.50,6.38,0.96,6.03,,
September,4.23,3.34,2.70,6.02,2.86,5.79,7.09,6.88,0.76,3.43,,
October,1.68,5.79,2.10,9.58,2.61,4.18,10.02,6.08,7.41,6.55,,
November,10.19,2.75,4.98,7.59,2.67,2.51,4.07,2.13,6.78,10.24,,
December,11.01,4.12,1.90,7.82,6.55,6.19,7.08,5.46,12.12,7.17,,
Total,64.48,47.28,36.20,58.25,33.13,62.07,65.79,64.39,49.45,64.59,,
Calc annual,64.48,47.28,36.20,58.25,33.13,62.07,65.79,64.39,49.45,64.59,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
