"PATCHING FARM",,,,,,,,,,,,
Grid ref,TQ086084,Long,-0.458175,Lat,50.864917,,,,,,,
Station no,447,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.79,2.80,1.35,,,,,,,,,
February,5.93,0.83,1.32,,,,,,,,,
March,4.12,3.48,0.30,,,,,,,,,
April,1.99,1.71,,,,,,,,,,
May,2.47,2.09,,,,,,,,,,
June,2.56,1.26,,,,,,,,,,
July,2.43,0.89,,,,,,,,,,
August,4.82,2.06,,,,,,,,,,
September,3.33,3.87,,,,,,,,,,
October,1.73,3.75,,,,,,,,,,
November,5.33,4.15,,,,,,,,,,
December,3.35,3.58,,,,,,,,,,
Total,41.85,30.47,,,,,,,,,,
Calc annual,41.85,30.47,2.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
