"DUKINFIELD (HIGHER RESERVOIR)",,,,,,,,,,,,
Grid ref,SJ955972,Long,-2.069260,Lat,53.471514,,,,,,,
Station no,2744,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.82,3.64,1.52,3.60,2.02,4.39,2.02,2.72,3.24,4.52,,
February,2.48,1.23,1.99,2.89,1.62,1.25,2.16,4.13,0.33,1.94,,
March,4.65,2.29,2.00,2.26,1.87,1.18,2.93,2.08,1.62,0.64,,
April,2.34,3.41,1.95,0.73,1.81,2.94,0.36,1.00,2.34,1.71,,
May,1.16,1.62,1.88,2.71,2.84,0.98,1.23,2.64,0.66,1.87,,
June,1.08,2.30,3.47,2.86,2.55,3.14,1.95,4.48,2.38,1.63,,
July,3.24,3.61,5.69,5.77,0.97,5.36,3.88,4.80,2.96,4.78,,
August,4.91,2.33,4.12,5.25,0.72,9.33,4.29,5.01,0.35,6.01,,
September,2.40,2.80,1.98,4.00,1.89,2.39,5.97,3.88,0.13,3.37,,
October,0.94,2.87,1.93,6.01,1.59,2.20,3.59,3.25,2.57,3.46,,
November,6.15,1.83,3.30,4.89,1.81,1.40,1.60,1.43,3.71,5.41,,
December,5.47,2.83,1.40,3.68,3.92,3.46,3.75,3.15,4.65,3.82,,
Total,38.64,30.76,31.23,44.65,23.61,38.02,33.73,38.57,24.94,39.16,,
Calc annual,38.64,30.76,31.23,44.65,23.61,38.02,33.73,38.57,24.94,39.16,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
