"SLAIDBURN (FOOTHOLME)",,,,,,,,,,,,
Grid ref,SD652531,Long,-2.532025,Lat,53.972788,,,,,,,
Station no,3080,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.49,7.01,3.24,7.29,4.92,5.80,7.28,6.09,4.67,9.30,,
February,3.97,2.77,2.77,4.64,2.66,1.29,5.04,11.31,1.32,6.74,,
March,4.31,4.35,1.72,4.09,1.94,1.92,5.66,2.21,3.43,1.88,,
April,3.89,4.13,3.89,1.74,4.34,2.61,0.63,2.54,3.49,4.18,,
May,2.08,3.71,3.56,3.61,6.30,3.30,3.38,6.86,2.46,2.26,,
June,1.48,5.26,3.11,5.25,4.07,3.53,2.05,4.20,4.51,2.36,,
July,3.85,3.86,9.57,10.38,1.62,5.49,7.09,4.82,5.44,14.44,,
August,5.29,9.48,7.41,9.04,0.85,14.74,7.71,5.99,0.83,6.64,,
September,5.25,6.95,8.89,10.41,4.59,4.22,10.15,6.81,0.57,4.12,,
October,2.38,5.41,2.35,13.97,3.86,4.41,8.61,7.05,7.51,5.00,,
November,11.05,3.31,8.87,10.21,3.31,2.59,2.46,2.36,7.45,13.91,,
December,15.77,5.82,3.30,11.08,7.82,7.18,8.59,6.04,13.28,7.92,,
Total,65.81,62.06,58.68,91.71,46.28,57.08,68.65,66.28,54.96,78.75,,
Calc annual,65.81,62.06,58.68,91.71,46.28,57.08,68.65,66.28,54.96,78.75,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
