"OXFORD (NORTHAM ROAD)",,,,,,,,,,,,
Grid ref,SP514078,Long,-1.256568,Lat,51.766527,,,,,,,
Station no,1051/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.04,1.79,0.89,1.10,2.39,3.62,1.59,3.56,3.70,3.40,,
February,3.47,0.46,1.48,2.31,1.26,0.31,2.85,2.51,0.08,2.00,,
March,3.58,2.02,0.58,2.53,1.37,0.66,1.71,1.42,3.59,1.03,,
April,2.47,1.60,2.19,0.36,0.87,1.78,0.38,1.03,2.12,0.70,,
May,2.28,2.22,1.77,2.10,4.28,0.26,1.59,2.14,0.93,2.56,,
June,1.42,1.35,1.78,3.61,3.48,2.11,2.45,3.35,1.13,4.70,,
July,1.28,0.26,3.24,2.14,0.25,2.32,3.62,2.61,2.77,4.44,,
August,3.88,3.64,2.98,3.43,0.45,4.11,3.31,2.81,1.71,2.09,,
September,4.12,1.74,1.92,2.28,1.51,2.33,4.19,3.23,0.21,4.04,,
October,0.81,3.82,2.21,2.11,1.46,2.04,2.14,2.83,1.95,5.84,,
November,5.14,3.47,1.55,4.56,1.43,0.69,1.91,2.81,2.09,4.44,,
December,1.63,2.01,0.75,2.05,2.87,3.08,2.42,3.10,4.94,4.10,,
Total,33.12,24.38,21.34,28.58,21.62,23.31,28.16,31.40,25.22,39.34,,
Calc annual,33.12,24.38,21.34,28.58,21.62,23.31,28.16,31.40,25.22,39.34,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,,
