"GLEN MEANN",,,,,,,,,,,,
Grid ref,NN522125,Long,-4.389003,Lat,56.281871,,,,,,,
Station no,5520,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.05,4.30,4.35,7.30,5.15,4.90,12.50,10.00,4.20,5.00,,
February,4.30,2.50,3.80,6.70,2.90,3.44,6.55,3.40,4.30,9.00,,
March,4.40,8.00,3.05,5.35,2.60,4.00,8.55,3.00,6.50,3.50,,
April,5.65,4.35,4.80,3.15,4.38,3.50,2.85,3.80,6.00,7.80,,
May,1.70,2.60,4.20,5.20,4.90,5.00,3.50,5.85,1.70,5.40,,
June,3.80,4.40,2.90,4.85,4.55,5.20,2.25,3.50,4.60,3.10,,
July,4.20,4.10,7.00,4.00,0.55,6.70,5.10,5.20,7.90,5.70,,
August,8.10,5.15,4.70,6.40,1.45,7.25,6.85,7.30,4.10,6.10,,
September,6.20,3.80,9.90,9.30,6.80,8.10,5.20,7.15,2.20,5.00,,
October,2.45,8.35,7.30,13.10,7.05,6.05,7.70,6.20,8.90,6.00,,
November,12.35,3.40,13.20,14.55,4.05,3.30,2.85,2.50,11.20,9.80,,
December,11.60,7.35,8.80,15.70,14.25,11.48,11.06,11.50,15.40,10.50,,
Total,72.80,58.30,74.00,95.60,58.63,68.92,74.96,69.40,77.00,76.90,,
Calc annual,72.80,58.30,74.00,95.60,58.63,68.92,74.96,69.40,77.00,76.90,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
