"LAMINGTON (COWGILL RES)",,,,,,,,,,,,
Grid ref,NT009288,Long,-3.572053,Lat,55.542810,,,,,,,
Station no,5165,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.87,3.84,1.49,3.22,3.77,2.10,6.96,4.10,1.74,3.76,,
February,3.73,0.91,1.32,2.64,1.44,1.49,4.58,3.94,1.15,3.92,,
March,2.85,1.76,0.76,2.75,1.35,1.61,4.15,1.58,2.54,2.63,,
April,3.56,2.52,2.72,0.35,1.53,0.92,2.68,1.89,3.50,3.16,,
May,2.42,1.19,2.44,3.81,2.34,2.04,2.63,3.29,1.68,2.01,,
June,1.68,3.00,1.52,3.24,1.16,3.48,2.63,2.85,3.48,1.74,,
July,2.61,3.25,6.55,3.78,2.17,3.76,4.79,6.07,3.88,3.26,,
August,6.71,3.19,3.45,3.92,2.81,7.44,4.06,4.58,0.98,4.52,,
September,3.23,1.96,3.37,7.22,3.09,4.56,3.48,4.32,1.21,3.60,,
October,0.67,3.12,3.96,8.29,3.60,3.63,5.32,2.91,5.37,2.70,,
November,7.03,3.31,4.97,8.66,1.99,1.96,1.37,0.98,7.23,6.55,,
December,6.77,4.22,4.05,6.01,4.42,5.77,5.48,5.10,5.44,4.96,,
Total,45.13,32.27,36.60,53.89,29.67,38.76,48.13,41.61,38.20,42.81,,
Calc annual,45.13,32.27,36.60,53.89,29.67,38.76,48.13,41.61,38.20,42.81,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
