"LOCH BRADAN",,,,,,,,,,,,
Grid ref,NX437977,Long,-4.460352,Lat,55.248643,,,,,,,
Station no,5266,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.98,8.53,3.72,7.42,3.83,4.96,8.98,7.91,3.97,5.20,,
February,4.11,3.45,2.41,4.36,2.02,1.11,5.65,6.11,2.96,7.17,,
March,2.17,2.92,1.05,5.11,2.49,3.06,5.19,1.65,4.12,1.76,,
April,4.48,2.64,2.86,1.74,2.75,1.54,3.24,2.30,5.21,6.03,,
May,2.05,2.48,3.17,3.95,4.42,2.75,2.39,2.79,2.13,3.08,,
June,2.68,3.97,1.37,4.72,3.05,2.72,1.84,3.47,3.35,3.97,,
July,2.95,4.09,6.98,5.44,2.10,8.36,5.85,5.59,5.52,4.97,,
August,6.95,5.30,5.44,5.03,2.03,6.96,6.03,4.77,1.35,4.06,,
September,5.60,4.74,8.33,8.83,4.59,4.93,5.56,6.90,2.35,4.56,,
October,1.24,5.81,6.16,11.40,4.98,5.53,6.07,5.14,8.82,4.43,,
November,11.71,4.27,7.08,11.26,4.59,3.21,3.53,2.78,7.37,10.70,,
December,10.42,6.01,5.91,11.80,8.23,9.03,8.05,6.58,10.37,6.98,,
Total,59.34,54.21,54.48,81.06,45.08,54.16,62.38,55.99,57.52,62.91,,
Calc annual,59.34,54.21,54.48,81.06,45.08,54.16,62.38,55.99,57.52,62.91,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,,
