"OAKWORTH (OLDFIELD FILTERS) NO.2",,,,,,,,,,,,
Grid ref,SE003379,Long,-1.996924,Lat,53.837353,,,,,,,
Station no,3289/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.70,5.28,1.63,4.04,2.31,5.38,3.98,4.14,4.02,6.57,,
February,4.19,1.58,2.78,3.24,2.03,1.99,3.57,7.14,0.81,3.88,,
March,5.14,2.34,2.21,3.07,2.35,2.12,3.61,2.27,2.21,2.18,,
April,2.78,2.90,3.58,0.64,1.57,3.23,0.41,1.90,4.18,2.99,,
May,3.90,2.68,2.40,3.90,3.59,1.68,1.23,5.92,1.52,1.86,,
June,1.54,3.02,4.08,2.31,2.72,3.56,2.97,5.38,3.47,1.32,,
July,3.02,2.86,4.30,4.97,0.82,5.10,4.99,3.95,2.61,6.57,,
August,4.36,5.78,4.30,8.12,1.28,9.96,5.61,3.77,1.51,4.69,,
September,2.99,4.12,4.05,4.78,2.39,4.35,5.37,4.52,0.30,3.05,,
October,1.44,4.77,2.15,7.72,3.30,2.52,5.75,4.19,5.56,5.70,,
November,10.05,2.20,5.61,7.20,2.98,1.75,2.49,1.76,5.19,8.17,,
December,9.74,4.67,2.35,6.43,6.19,5.17,6.03,5.38,9.35,5.98,,
Total,53.85,42.20,39.44,56.42,31.53,46.81,46.01,50.32,40.73,52.96,,
Calc annual,53.85,42.20,39.44,56.42,31.53,46.81,46.01,50.32,40.73,52.96,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,,
