"BURNSALL (THORPE FELL)",,,,,,,,,,,,
Grid ref,SE007597,Long,-1.990804,Lat,54.033285,,,,,,,
Station no,3337,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.01,4.95,2.28,4.17,3.82,6.10,6.64,4.70,4.32,7.84,,
February,3.55,1.57,4.21,4.12,3.10,3.29,3.61,10.82,1.35,5.56,,
March,3.72,1.97,1.44,3.16,2.26,2.32,5.95,2.66,2.96,2.42,,
April,1.65,2.53,3.42,1.47,2.89,1.98,0.60,1.48,4.24,3.37,,
May,2.75,1.37,2.55,3.67,4.14,2.59,1.85,6.74,0.86,2.35,,
June,0.98,2.87,3.31,4.94,4.30,2.71,2.07,6.30,2.57,2.15,,
July,2.33,2.14,6.68,6.97,1.43,7.39,4.95,5.57,3.11,11.16,,
August,4.23,6.47,6.40,9.41,1.34,12.15,8.37,5.41,0.65,5.13,,
September,2.58,4.62,5.17,7.30,3.67,5.76,7.09,5.81,0.42,3.76,,
October,0.79,4.38,2.35,11.23,3.56,3.06,7.70,4.94,5.15,6.43,,
November,8.84,2.56,6.95,7.94,3.11,1.65,2.25,1.82,6.33,9.56,,
December,6.84,4.98,3.03,8.68,8.48,5.95,6.13,4.96,9.51,5.92,,
Total,41.27,40.41,47.79,73.06,42.10,54.95,57.21,61.21,41.47,65.65,,
Calc annual,41.27,40.41,47.79,73.06,42.10,54.95,57.21,61.21,41.47,65.65,,
Difference,-0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
