SLAIDBURN-MERRYBENT-39,,,,,,,,,,
Grid ref,SD710571,Long,-2.4439882,Lat,54.009097,Elevation,1000,ft.,,
Station no,3087/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.14,8.45
February,,,,,,,,,1.83,6.76
March,,,,,,,,,3.73,2.04
April,,,,,,,,,4.93,5.43
May,,,,,,,,,,2.36
June,,,,,,,,,,3.06
July,,,,,,,,,5.84,12.17
August,,,,,,,,,0.64,4.84
September,,,,,,,,,0.65,4.7
October,,,,,,,,,8.73,4.51
November,,,,,,,,,7.72,12.5
December,,,,,,,,,13.8,8.71
Total,,,,,,,,,,75.53
,,,,,,,,,,
NGR is from the 1950s record and is near a location called Merrybent Hill. Altitudes match.,,,,,,,,,,
No 39 MIDAS src_id 12328 ends 1977 but has start date of 1960,,,,,,,,,,
