SLAIDBURN-MERRYBENT-39A,,,,,,,,,,
Grid ref,SD710571,Long,-2.4439882,Lat,54.009097,Elevation,1000,ft.,,
Station no,3087/8/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.13,9.12
February,,,,,,,,,1.83,7.44
March,,,,,,,,,3.85,2.05
April,,,,,,,,,4.95,5.45
May,,,,,,,,,1.4,2.4
June,,,,,,,,,5.1,3.06
July,,,,,,,,,5.8,12.14
August,,,,,,,,,0.69,4.76
September,,,,,,,,,0.67,4.72
October,,,,,,,,,8.61,4.45
November,,,,,,,,,7.86,12.64
December,,,,,,,,,13.94,8.6
Total,,,,,,,,,59.83,76.83
,,,,,,,,,,
NGR is from the 1950s record and is near a location called Merrybent Hill. Altitudes match,,,,,,,,,,
