SLAIDBURN-TOSSIDE,,,,,,,,,,
Grid ref,SD766563,Long,-2.3584805,Lat,54.002192,Elevation,880,ft.,,
Station no,3085/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.5,5.1,4.07,6.1
February,,,,,,,4.35,9,1.12,6.34
March,,,,,,,4.49,1.65,2.45,1.48
April,,,,,,,1.47,1.55,3.15,3.25
May,,,,,,,3.2,6.35,0.83,1.75
June,,,,,,,1.84,4.3,3.74,2.16
July,,,,,,,5.6,4.59,3.82,7.95
August,,,,,,,5.92,6.24,0.55,4.25
September,,,,,,,6,5.45,0.44,3.7
October,,,,,,,7.6,4.36,5.42,3.85
November,,,,,,,1.77,1.86,6.1,9.8
December,,,,,,,6.38,5.21,9.91,7.07
Total,,,,,,,55.12,55.66,41.6,57.7
,,,,,,,,,,
NGR is from the 1950s record and is near Tosside. Altitudes match.,,,,,,,,,,
MIDAS src_id 12302 ends 1982,,,,,,,,,,
