"HULL SPRINGHEAD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3394,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.06,2.15,2.81,1.21,2.37,1.49,3.57,1.52,4.21,2.27,2.76,
February,1.38,0.32,2.95,4.15,1.17,2.36,1.56,1.27,1.65,0.75,0.63,
March,3.07,1.04,1.82,1.62,1.17,1.24,0.77,1.46,2.96,0.10,1.91,
April,3.98,0.99,1.72,1.48,1.61,2.13,1.66,2.33,1.05,1.07,2.28,
May,2.68,2.16,1.22,3.82,3.20,2.98,2.37,0.93,0.86,1.23,1.91,
June,1.34,0.25,1.07,0.52,1.90,0.06,3.80,2.97,2.76,1.63,1.63,
July,3.36,0.67,5.44,2.81,2.64,1.58,1.56,2.22,0.47,1.83,5.40,
August,1.03,2.58,3.32,2.83,2.47,1.92,2.94,5.38,4.69,2.04,3.41,
September,1.68,0.62,2.00,3.79,2.49,2.87,0.59,3.74,0.21,0.75,2.93,
October,1.20,1.13,1.27,1.47,3.56,2.44,3.44,1.65,4.47,2.11,2.28,
November,0.74,1.59,1.70,2.91,1.67,3.16,2.61,2.33,2.77,3.72,3.28,
December,2.72,2.43,2.50,3.56,2.26,3.16,0.74,2.85,1.75,4.20,1.64,
Total,25.24,15.93,27.82,30.17,26.51,25.39,25.61,28.65,27.85,21.70,30.06,
Calc annual,25.24,15.93,27.82,30.17,26.51,25.39,25.61,28.65,27.85,21.70,30.06,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
