ESGAIR-Y-MAEN-LLUGNANT,,,,,,,,,,
Grid ref,SN813858,Long,-3.7483455,Lat,52.457211,Elevation,1450,ft.,,
Station no,4245/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,9.88,13.88
February,,,,,,,,,2.6,8.1
March,,,,,,,,,6.3,3.87
April,,,,,,,,6.45,6.85,7.72
May,,,,,,,,6.95,2.8,2.38
June,,,,,,,,5.76,5.63,3.84
July,,,,,,,10.43,9.13,8.6,11.49
August,,,,,,,14,7.18,1.17,
September,,,,,,,16.1,12.75,1.11,9.8
October,,,,,,,,8.42,13.82,5.86
November,,,,,,,,6.68,9.52,16.76
December,,,,,,,,7.4,16.12,15.72
Total,,,,,,,,,84.4,
,,,,,,,,,,
NGR is from 1950s record and is on the side of Esgair Y Maen. Altitudes match.,,,,,,,,,,
"MIDAS src_id 10417 ends 1972 with NGR 100m W but also higher, did gauge move?",,,,,,,,,,
