EPSOM-HYLANDS-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ202596,Long,-0.27638965,Lat,51.322813,Elevation,225,ft.,,,,,,,,,,,,,
Station no,RR8505,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,1.29,3.18,3.93,2.78,1.97,3.32,1.54,2.51,,,,,,
February,,,,,,,,0.81,1.09,2.25,0.68,0.21,2.36,4.47,0.67,,,,,,
March,,,,,,,,1.87,1.03,3.69,1.71,1.19,1.97,2.2,0.88,,,,,,
April,,,,,,,,2.62,4.21,3.17,2.89,1.01,2.76,1.95,4.28,,,,,,
May,,,,,,,,1.91,1.95,0.15,0.55,2.36,0.78,2.6,3.41,,,,,,
June,,,,,,,,1.8,1.01,1.15,1.74,0.09,1.21,0.38,2.83,,,,,,
July,,,,,,,,5.32,5.86,2.01,4.29,0.5,4.09,3.36,2.95,,,,,,
August,,,,,,,,4.77,1.07,2.61,1.69,1.24,2.52,2.41,4.15,,,,,,
September,,,,,,,,2.27,5.09,1.75,3,1.16,1.83,1.29,3.1,,,,,,
October,,,,,,,,3.55,1.44,0.73,1.17,0.61,1.15,5.76,3.88,,,,,,
November,,,,,,,,1.3,2.75,1.64,1.68,1.75,1.71,1.78,3.74,,,,,,
December,,,,,,,,1.84,2.08,4.45,2.22,1.37,4.2,2.53,3.85,,,,,,
Total,,,,,,,,29.35,30.76,27.53,24.4,13.46,27.9,30.27,36.25,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is mid-point of Hylands Road, which is 200m long. Altitudes match.",,,,,,,,,,,,,,,,,,,,,
