HENDRE,,,,,,,,,,,,,,,,,,,,
Grid ref,SH605386,Long,-4.0766581,Lat,52.926635,Elevation,80,ft,,,,,,,,,,,,
Station no,RR2662,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,4.5,7.9,,,,,,,,,6.25,3.09,8.43,4.76,1.77
February,,,,,,3.81,5.4,,,,,,,,,3.57,6.29,6.19,2.85,5.21
March,,,,,,4.29,3.81,,,,,,,,,2.27,4.59,5.2,2.34,2.88
April,,,,,,,0.98,,,,,,,,,1.96,4.71,3.01,1.78,1.65
May,,,,,3.11,6.95,1.19,,,,,,,,,2.47,0.73,3.88,4.33,3.26
June,,,,,6,1.72,3.31,,,,,,,,1.81,4.47,2.49,3.55,3.44,5.7
July,,,,,2.41,2.12,2.5,,,,,,,,4.14,3.54,5.23,7.73,1.56,8.11
August,,,,,3.6,4.5,4.01,,,,,,,,9.09,2.49,4.89,5.92,4.53,8.69
September,,,,,6.3,1.56,8.62,,,,,,,,6.1,6.94,3.89,5,4.79,6.34
October,,,,,2.4,2.83,3.04,,,,,,,,7.86,6.26,5.89,7.26,6.17,3.53
November,,,,,5.26,6.01,4.5,,,,,,,,6.15,5.81,5.74,11.17,3.2,0.51
December,,,,,5.24,2.93,5.09,,,,,,,,5.22,3.16,6.65,5.63,3.36,3.25
Total,,,,,,,50.35,,,,,,,,,49.19,54.19,72.97,43.11,50.9
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is Hendre Hall, The 1860s record, observer, Ball,  states location is 24 miles SW by road to Carnarvon; the NGR is a reasonable match. ",,,,,,,,,,,,,,,,,,,,
"The 1870s record, observer Matthews,  includes Penrhyndeudreth and Mynnford Junction in the location title and the NGR is close to this junction. This record quotes altitude of 85ft.",,,,,,,,,,,,,,,,,,,,
Inspector notes that the 1877 total was 73.07 originally and he received no answer when this was queried the change. The readings has been left in the record; the difference is only 0.1 inches,,,,,,,,,,,,,,,,,,,,
