TITCHFIELD-BELLFIELD,,,,,,,,,,,
Grid ref,SU538054,Long,-1.23698,Lat,50.84611,Elevation,25,ft,,,
Station no,RR8529,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,4.79,1.46,2.73,4.79,4.21,2.19,5.05,,
February,,0.21,2.67,4.88,0.51,4.63,1.87,3.82,2.02,,
March,,0.78,2.09,1.3,1.72,0.41,0.57,2.96,2.38,,
April,,0.86,2.78,2.73,2.75,2.62,3.46,1.83,1.76,,
May,,1.2,0.82,2.17,3.01,4.2,2.26,0.74,1.43,,
June,,0.04,1.76,0.34,3.23,0,2.48,2.4,2.28,,
July,,0.09,3.73,0.89,3,3.26,2.19,2.68,2.1,,
August,,2.37,2.46,1.99,2.79,4.14,1.62,3.77,2.03,,
September,,0.79,1.6,2.1,5.81,2.72,0.33,5.85,1.28,,
October,,0.59,1.14,6.08,4.42,4.56,3.25,1.81,6.55,,
November,,1.92,1.73,1.53,2.96,3.36,7.15,3.19,2.79,,
December,,1.97,4.37,3.07,4.16,3.98,0.43,3.92,3.59,,
Total,,,29.94,28.54,37.09,38.67,29.82,35.16,33.26,,
,,,,,,,,,,,
The observer lived at Bellfield Road. ,,,,,,,,,,,
The houses in Bellfield were being built at this time. What is now Bellfield Road did not exist at this time. ,,,,,,,,,,,
NGR locates gauge on the East side which has the lowest elevation.,,,,,,,,,,,
1921 Jan 15 Station started,,,,,,,,,,,
1929 Moved to Snape Suffolk,,,,,,,,,,,
