CORRIS-ESGAIRGEILIOG-CAMP,,,,,,,,,,,,,,,,,,,,
Grid ref,SH759060,Long,-3.8353337,Lat,52.637512,Elevation,246,ft.,,,,,,,,,,,,
Station no,4244/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.99,18.59,5.23,5.41,9.09,10.33,3.84,7.38,5.94,,13.19,,6.99,11.21
February,,,,,,,2.1,6.07,4.7,10.51,6.92,4.37,4.18,5.82,2.77,0.88,5.21,13.24,2.36,6.5
March,,,,,,,12.41,,4.57,5.09,7.61,7.17,4.31,5.64,2.66,,8.99,1.78,3.78,2.49
April,,,,,,,5.26,2.53,8.03,10,7.69,3.37,6.25,1.96,3.17,,0.86,3.48,4.73,4.93
May,,,,,,,3.84,,,0.67,2.2,2.79,3.53,3.31,8.68,,3.7,7.71,1.22,1.74
June,,,,,,,3.65,9.76,,6.19,2.72,5.88,2.48,6.5,9.31,3.06,3.79,4.58,4.94,3.28
July,,,,,,,5.69,5.46,2.3,7.63,2.79,2.15,10.49,13.7,1.89,7.82,12.87,7.72,7.04,9.6
August,,,,,,,0.99,9.8,4.51,12.64,7.98,6.53,7.01,7.74,2.01,11.54,10.75,-999,1.19,7.8
September,,,,,,,4.85,8.85,4.66,16.35,6.3,5.83,8.39,10.26,2.72,6.17,12.55,-999,1.43,7.59
October,,,,,,,1.39,6.22,10.23,6.38,2.19,10.75,3.9,21.33,4.49,7.07,15.29,7.45,11.43,4.72
November,,,,,,,11.63,7.49,11.97,9.13,10.88,6.36,10.43,13.22,0.32,4.03,2.59,4.65,7.54,17.4
December,,,,,,,9.33,4.1,13.97,7.77,15.96,8.87,2.41,13.13,10.49,8.6,6.77,5.44,14.74,11.55
Total,,,,,,,67.13,,,97.77,82.33,74.4,67.22,109.99,54.45,,96.56,,67.39,88.81
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is close to the camp. Stated altitude a bit high; the NGR is possibly 100m too far east. Gauge moved here at the beginning of 1947 from Corris Pantperthog about 1km.,,,,,,,,,,,,,,,,,,,,
Aug/Sep noted as apportiond combined total for 2 months 18.73 inches,,,,,,,,,,,,,,,,,,,,
