KINGSBRIDGE-WEST-ALVINGTON-RES,,,,,,,,,,
Grid ref,SX726438,Long,-3.78875,Lat,50.28084,Elevation,214,ft,,
Station no,1669/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.04,3.35,4.85,5.74,4.95
February,,,,,,0.25,5.52,3.07,0.35,4.7
March,,,,,,1.43,4.21,2.71,4.94,3.09
April,,,,,,1.37,0.48,0.6,4.21,2.83
May,,,,,,1.35,1.85,2.91,0.83,2.14
June,,,,,3.92,2.26,1.03,3.29,1.39,1.44
July,,,,,1.53,3.35,3.36,3.35,1.96,4.92
August,,,,,0.05,2.4,,6.74,1.67,4.33
September,,,,,2.54,,,5.63,0.12,6.46
October,,,,,3.23,,,3.98,4.61,9
November,,,,,3.34,1.16,,3.3,6.24,6.86
December,,,,,6.77,4.94,,4.69,9.49,5.71
Total,,,,,,,,45.12,41.55,56.43
,,,,,,,,,,
1955 May 25 Record started,,,,,,,,,,
1957 No rainfall figures for Aug-Dec,,,,,,,,,,
1957 Sept Part estimated,,,,,,,,,,
1957 Oct-Dec App,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as West Alvington Resr SRC_ID 8482,,,,,,,,,,
1956-1963,,,,,,,,,,
