STREATHAM-WAVERTREE-ROAD,,,,,,,,,,
Grid ref,TQ305730,Long,-0.12373694,Lat,51.440969,Elevation,177,ft.,,
Station no,RR8385,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,0.46,1.66,2.98,,,,,
February,,,1.38,2.8,1.66,,,,,
March,,,1.37,0.36,0.77,,,,,
April,,,1.24,0.18,1.37,,,,,
May,,,1.41,0.52,1.58,,,,,
June,,,2.51,0.86,,,,,,
July,,,1.85,2.48,,,,,,
August,,,3.79,0.99,,,,,,
September,,,2.12,1.09,,,,,,
October,,,3.96,4.11,,,,,,
November,,,2.39,2.23,,,,,,
December,,,1.13,1.96,,,,,,
Total,,,23.61,19.24,,,,,,
,,,,,,,,,,
NGR is on Wavertree Road at stated altitude.,,,,,,,,,,
Gauge moved to Woodfield Aveneue 1 June 1894,,,,,,,,,,
