TOTNES-BERRY-POMEROY-(VICARAGE),,,,,,,,,,
Grid ref,SX828609,Long,-3.6512,Lat,50.4364,Elevation,143,ft,,
Station no,1695/2,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,5.11,1.24,5.38,8.94,1.72,,,,,
February,6.49,2.78,4.43,2.01,5.9,,,,,
March,1.09,3.59,6.08,5.94,7.62,,,,,
April,2.04,2.02,0.04,5.19,1.69,,,,,
May,3.08,0.74,1.73,3.7,1.54,,,,,
June,1.96,2.36,4.62,0.76,1.37,,,,,
July,2.96,0.9,2.14,0.59,3.63,,,,,
August,4.98,0.81,7.84,1.63,3.11,,,,,
September,0.16,2.15,1.53,2.97,2.35,,,,,
October,6.14,5.33,5.52,3.58,4.14,,,,,
November,5.52,5.3,2.41,5.33,6.38,,,,,
December,8.67,11.15,7.54,2.85,10.87,,,,,
Total,48.2,38.37,49.26,43.49,50.32,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Cannot find earlier record - in 1908 the observer was in Kenn Chapel Court, so possible he moved in 1909 and waited for New Year to restart records",,,,,,,,,,
1911 Feb estimated,,,,,,,,,,
Annual values rejected from survey map 1929,,,,,,,,,,
