HAVANT-LEIGH-PARK-FARM,,,,,,,,,,
Grid ref,SU720086,Long,-0.97811,Lat,50.8724,Elevation,105,ft,,
Station no,687/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.58,4.73,3.83,4.26
February,,,,,,,4.92,2.87,0.1,3.13
March,,,,,,,2.11,1.55,2.57,1.84
April,,,,,,,0.25,0.67,2.41,0.94
May,,,,,,,1.05,2.98,0.36,1.08
June,,,,,,,1.42,3.13,0.91,2.66
July,,,,,,,3.92,2.1,2.37,3.93
August,,,,,,,2.61,4.9,3.39,4.75
September,,,,,,,3.11,4.03,0.14,5.85
October,,,,,,,2.12,2.2,3.07,9
November,,,,,,0.74,2.87,2.78,4.18,6.2
December,,,,,,5.29,2.64,4.21,7.96,4.79
Total,,,,,,,29.6,36.15,31.29,48.43
,,,,,,,,,,
NGR taken from MIDAS as kitchen garden seems more likely,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Leigh Park Farm SRC_ID 7513,,,,,,,,,,
1956-1968,,,,,,,,,,
