FELIXKIRK - MOUNT ST JOHN - HALLIWELL GAUGE,,,,,,,,,
Grid ref,SE474848,Long,-1.274,Lat,54.257,Elevation,535,ft,
Station no,3431,,,,,,,,
,,,,,,,,,
,1905,1906,1907,1908,1909,1910,1911,1912,1913
January,0.39,2.68,0.56,1.08,0.54,2.67,1.66,3.12,2.66
February,1.03,1.64,1.55,2.09,0.78,2.58,0.87,1.92,0.98
March,1.91,2.08,0.87,2.44,3.65,0.69,1.76,3.11,2.27
April,2.60,1.12,2.30,3.15,2.09,1.66,1.33,0.11,3.20
May,1.20,2.85,3.06,1.43,1.05,1.96,0.86,2.37,1.63
June,1.35,1.40,3.47,0.34,2.67,1.55,3.27,5.93,1.85
July,1.34,1.53,1.61,3.91,2.71,2.57,0.65,3.97,0.49
August,2.71,2.36,2.00,1.85,3.49,3.69,2.81,4.95,0.96
September,2.79,0.49,0.80,2.49,2.26,0.24,2.52,1.99,1.33
October,1.94,4.91,4.14,1.07,2.91,2.65,2.14,2.41,2.22
November,4.44,2.58,2.45,1.71,0.85,3.06,3.89,3.14,2.17
December,0.30,2.57,2.96,1.41,3.93,2.68,4.17,1.00,1.97
Total,22.00,26.21,25.77,22.97,26.93,26.00,25.93,34.02,21.73
,,,,,,,,,
TYRain_1900-1909_22_pt1/118,,,,,,,,,
TYRain_1910-1919_20_pt1/289,,,,,,,,,
