"CHESWICK, south of Berwick upon Tweed",,,,,,,,,,
Grid ref,NU028463,Long,-1.9563,Lat,55.711,Elevation,110,ft,,
Station no,RR2217,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,3.07,1.21,1.99
February,,,,,,,,1.14,3.84,0.83
March,,,,,,,,0.46,3.26,1.42
April,,,,,,,,1.11,1.52,2.23
May,,,,,,,,3.73,0.77,2
June,,,,,,,,2.16,5.98,1.79
July,,,,,,,,1.86,1.87,2.26
August,,,,,,,,1.78,2.46,2.25
September,,,,,,,,1.24,0.72,1.49
October,,,,,,,,2.33,4.37,2.61
November,,,,,,,,1.48,0.96,1.6
December,,,,,,,,3.84,0.97,2.95
Total,,,17.8,,,32.39,36.56,24.2,27.93,23.42
,,,,,,,,,,
1842 total = 17.8 on record,,,,,,,,,,
NGR given for Cheswick House in the hamlet of Cheswick; no info on record,,,,,,,,,,
