ETWALL-HALL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK267320,Long,-1.6046585,Lat,52.884801,Elevation,235,ft.,,,,,,,,,,,,,
Station no,2652,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,2.61,2.16,2.04,2.59,0.88,3.42,3.31,2.49,,
February,,,,,,,,,,,,3.02,0.32,3.66,0.35,2.35,1.76,4.43,0.79,,
March,,,,,,,,,,,,0.11,1.74,2.47,1.78,0.67,1.47,2.64,0.94,,
April,,,,,,,,,,,,3.45,2.87,1,1.89,2.74,1.57,1.98,0.15,,
May,,,,,,,,,,,,2.7,6.81,1.82,0.82,0.48,0.3,2.29,1.38,,
June,,,,,,,,,,,,3.4,0.64,2.58,0.67,3.79,3.47,0.96,2.33,,
July,,,,,,,,,,,,3.78,3.21,2.33,1.17,0.5,3.87,2.59,3.62,,
August,,,,,,,,,,,,5.22,2.49,0.83,2.1,2.14,0.91,0.46,2.15,,
September,,,,,,,,,,,,3.8,2.47,1.82,2.04,3.41,2.75,1.42,4.11,,
October,,,,,,,,,,,,0.89,3.56,5.79,2.06,3.45,1.76,2.07,3.15,,
November,,,,,,,,,,,,3.32,2.04,1.2,1.85,4.69,2.52,1.76,3.08,,
December,,,,,,,,,,,,1.19,0.9,0.37,4.54,4.07,2.29,2.68,2.56,,
Total,,,,,,,,,,23.87,36.08,33.49,29.21,25.91,21.86,29.17,26.09,26.59,26.75,,
,,,,,,,,,,,,,,,,,,,,,
NGR is Etwall Hall. Stated altitude appears to be 20 ft. too high,,,,,,,,,,,,,,,,,,,,,
1929 and 1930 totals are from British Rainfall; record sheet not found,,,,,,,,,,,,,,,,,,,,,
