BATH (37 BATHWICK HILL),,,,,,,,,,,,
Grid ref,ST760647,Long,-2.346237,Lat,51.380837,,,,,,,
Station no,1985/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.06,,,,,,,,,,,
February,4.37,,,,,,,,,,,
March,3.39,,,,,,,,,,,
April,3.70,,,,,,,,,,,
May,2.64,,,,,,,,,,,
June,1.65,,,,,,,,,,,
July,1.14,,,,,,,,,,,
August,6.07,,,,,,,,,,,
September,3.73,,,,,,,,,,,
October,1.04,,,,,,,,,,,
November,8.04,,,,,,,,,,,
December,2.72,,,,,,,,,,,
Total,41.55,,,,,,,,,,,
Calc annual,41.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
