"GLASGOW (ALEXANDRA PARK)",,,,,,,,,,,,
Grid ref,NS617658,Long,-4.211530,Lat,55.865473,,,,,,,
Station no,5174,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.39,4.32,1.17,5.06,2.59,2.29,5.15,3.44,1.15,3.36,,
February,2.38,1.43,1.22,3.13,1.96,1.21,3.11,2.79,1.46,3.14,,
March,2.58,2.04,0.95,2.17,1.56,2.17,3.68,1.03,1.43,2.01,,
April,2.01,2.50,1.76,1.50,1.24,1.02,1.83,1.14,2.88,2.42,,
May,1.75,1.83,2.19,3.41,3.26,1.70,2.78,3.13,1.14,3.06,,
June,2.41,2.67,1.93,3.09,1.93,2.77,1.88,2.82,2.72,2.52,,
July,3.24,2.41,4.89,3.18,1.37,4.92,3.57,5.00,4.54,3.58,,
August,3.70,3.22,3.08,5.78,1.26,4.66,4.77,4.89,0.59,3.44,,
September,3.04,2.73,2.67,4.84,3.44,4.18,2.65,3.51,1.17,2.40,,
October,0.80,3.46,2.08,8.41,2.72,2.77,3.83,2.86,4.20,2.80,,
November,5.72,2.25,5.69,5.86,1.76,1.26,1.92,1.70,4.64,4.69,,
December,4.71,2.97,4.24,4.85,5.65,4.10,3.77,4.44,5.77,4.46,,
Total,36.73,31.83,31.87,51.28,28.74,33.05,38.94,36.75,31.69,37.88,,
Calc annual,36.73,31.83,31.87,51.28,28.74,33.05,38.94,36.75,31.69,37.88,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
