CHEADLE-TEAN-VICARAGE-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK013393,Long,-1.9820983,Lat,52.951079,Elevation,470,ft,,,,,,,,,,,,
Station no,RR2288,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,2.79,4.11,3.22,2,4.81,2.83,1.44,1,3.87,2.4,2.47,2.36,2.66,4.23,,,,
February,,,2.81,2.53,2.38,2.76,0.85,0.51,0.91,1.95,0.68,0.12,1.76,3.32,3.03,0.28,,,,
March,,,2.14,1.26,2.56,1.66,3.26,1.92,2.69,3.53,1.88,1.64,0.8,0.75,1.89,2.24,,,,
April,,,4.35,1.85,1.67,2.05,1.78,0.99,1.44,3.45,1.48,2.4,1.12,0.47,1.62,2.07,,,,
May,,,2.57,0.99,1.64,2.24,5.47,1.74,0.95,3.8,2.13,3.47,3.27,2.5,2,0.65,,,,
June,,,6.27,3.71,2.19,3.52,1.46,1.37,3.14,0.65,3.17,3.79,4.2,1.51,2.55,1.24,,,,
July,,,3.9,3.04,3.07,0.78,3.55,2.2,5.36,2.68,2.78,3.08,3.14,5.19,2.48,5.09,,,,
August,,,2.86,2.26,2.74,1.93,1.81,2.49,3.62,4.28,3.98,5.52,2.95,2.58,2.68,3.68,,,,
September,,,2.16,6.6,3.2,3.91,2.81,3.73,1.01,3.63,0.79,2.02,3.45,2.73,0.69,0.99,,,,
October,,,5.27,3.95,1.69,6.24,4.27,2.34,0.93,3.25,2.47,4.88,4.46,1.79,3.43,2.46,,,,
November,,,5.48,3.8,1.98,3.71,2.71,1.41,5.57,1.44,6.31,3.27,2.36,1.55,2.37,3.59,,,,
December,,,6.22,1.76,3.27,1.21,4.5,2.1,2.7,2.53,0.66,5.09,2.25,3.21,2.63,2.79,,,,
Total,,,46.82,35.86,29.61,32.01,37.28,23.63,29.76,32.19,30.2,37.68,32.23,27.96,28.03,29.31,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is the vicarage in Upper Tean, as described in the record. Altitudes match",,,,,,,,,,,,,,,,,,,,
