NEWPORT-CHATWELL,,,,,,,,,,
Grid ref,NaN,Long,NaN,Lat,NaN,Elevation,345,ft,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,3.05,,
February,,,,,,,2.48,1.33,,
March,,,,,,,2.04,2.62,,
April,,,,,,,0.53,1.9,,
May,,,,,,,1.4,1.45,,
June,,,,,,,2.86,1.94,,
July,,,,,,,1.71,2.85,,
August,,,,,,,4.46,2.14,,
September,,,,,,,4.63,1.75,,
October,,,,,,,2.53,3.37,,
November,,,,,,,2.24,1.13,,
December,,,,,,,1.65,2.25,,
Total,,,,,,,,25.78,,
,,,,,,,,,,
NOTES,,,,,,,,,,
"Location looks to read Newport Chatwell. There is a Great Chatwell near Newport, but  just in Staffordshire but at the wrong altitude. I think the observer is Rev W Eyre but not too  sure and cannot connect the name to Chatwell or even Newport. There is a Chadwell just inside Shropshire still at the wrong altitude and this is the NGR used, could be +/- 2 to 5 miles (NB Chatwell is 4 miles from Newport)",,,,,,,,,,
