NEWPORT-EDGMOND-HIGH- STREET-2ND-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ722194,Long,-2.4134992,Lat,52.77147,Elevation,261,"ft,",,,,,,,,,,,,
Station no,RR1275,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,1.71,2.07,0.93,3.29,1.85,1.18,,1.93,0.47,3.22,3.34,1.25,3.08,1.03,,,
February,,,,1.49,3.34,0.63,1.8,1.17,1.51,,2.39,1.44,1.03,0.92,1.82,2.59,3.71,,,
March,,,,3.8,1.35,3.3,1.71,1.06,2.95,,0.47,1.4,3.55,4.45,2.16,0.82,2.88,,,
April,,,,1.57,1.33,1.63,1.71,1.54,2.47,,1.97,0.84,0.19,2.97,0.85,1.39,1,,,
May,,,,2.86,2.04,0.91,2.07,3.28,2.54,,2.05,0.74,2.22,1.86,1.32,2.55,2.19,,,
June,,,,1.43,0.84,2.12,2.56,3.24,2.91,,1.55,2.21,4.93,1.04,1.74,1.47,1.69,,,
July,,,,2.67,1.83,1.56,0.65,3.68,3.36,,2.81,0.28,2.21,1.28,3.55,6.4,1.64,,,
August,,,,4.46,3.64,5.21,3.13,2.6,3.01,,3.87,2.12,6.03,2.15,2.77,2.88,2.96,,,
September,,,,4.3,1.7,0.96,1.3,1,2.4,,0.42,1.8,1.39,1.63,1.46,0.89,1.2,,,
October,,,,5.13,0.59,1.35,4.51,4.74,1.74,,2.69,2.13,2.53,3.68,1.54,2.01,3.76,,,
November,,,,2.67,1.28,2.63,2.53,2.3,1.72,,4.07,2.86,2.63,2.17,3.04,2.4,2.46,,,
December,,,,1.69,1.89,0.57,2.66,2.04,2.34,,4.58,4.22,2.2,1.18,6,4.32,2.19,,,
Total,,,,33.78,21.9,21.8,27.92,28.5,28.13,,28.8,20.51,32.13,26.67,27.5,30.8,26.71,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is 20 High Street Edgmond where the observer J Bodenham lived according to the 1911 census.,,,,,,,,,,,,,,,,,,,,
"There are two gauges at this location apparently located next to each other. There are a suspiciously high number of monthly results that match exactly, which suggests that readings have been duplicated either in error or because one or other of the gauges has not been read. There are 4 matches in 1907 and 1908, 3 in 1913, 8 in 1914, 5 in 1914 and 6 in 1915; the other years have 0 to 2 matches which are plausible",,,,,,,,,,,,,,,,,,,,
