MICKLEOVER,,,,,,,,,,,,,,,,,,,,
Grid ref,SK305341,Long,-1.5479926,Lat,52.903477,Elevation,310,ft.,,,,,,,,,,,,
Station no,RR1879,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,1.38,,1.73,,1.33,0.97,,,,,,,,
February,,,,,,,1.84,,2.21,,1.37,1.53,,,,,,,,
March,,,,,,,1.31,,1.91,,1.9,0.9,,,,,,,,
April,,,,,,,0.98,,1.21,,0.28,3.59,,,,,,,,
May,,,,,,,1.54,,2.14,,1.26,1.74,,,,,,,,
June,,,,,,,2.93,,0.22,,1.67,4.03,,,,,,,,
July,,,,,,,2.56,,0.28,,1,4.48,,,,,,,,
August,,,,,,,3.97,,3.26,,1.41,1.07,,,,,,,,
September,,,,,,,2.15,,1.8,,1.04,4.62,,,,,,,,
October,,,,,,,1.84,,2.91,,4.56,2.37,,,,,,,,
November,,,,,,,2.41,,1.33,,2.08,1.06,,,,,,,,
December,,,,,,,1.56,,5.99,,1.52,1.2,,,,,,,,
Total,,,,,,,24.47,,24.99,,19.42,27.56,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the church in Mickleover. The observer is Robert Ryley and there are a persons (father and son) of this name living at Church Cottage in 1861. Cannot find Church Cottage but assume that is is near to church. To match stated altitude NGR could be +/- 300m,,,,,,,,,,,,,,,,,,,,
