ALFORD - FINSBURY STREET,,,,,,,,
Grid ref,TF456756,Long,0.181,Lat,53.257,Elevation,30,ft
Station no,RR2340,,,,,,,
,,,,,,,,
,1917,1918,1919,1920,1921,1922,1923,1924
January,2.29,1.56,2.53,,1.91,3.22,0.99,1.96
February,0.78,0.79,1.70,,0.29,2.38,3.89,1.03
March,1.29,0.50,2.58,,0.58,2.26,1.51,0.58
April,1.86,1.27,1.35,,1.32,1.52,0.83,1.28
May,0.84,1.92,0.68,,1.50,0.46,2.22,2.31
June,1.67,0.35,0.80,,0.36,1.08,0.63,2.05
July,0.72,3.34,2.57,,0.30,3.80,2.08,2.20
August,4.71,1.47,2.95,,2.02,1.70,2.29,1.35
September,1.00,2.76,2.03,,0.39,2.69,3.20,2.45
October,2.86,1.19,1.72,,1.43,1.52,1.83,3.91
November,1.20,1.55,2.44,,1.54,1.17,2.85,1.86
December,1.34,3.27,3.02,,1.25,3.08,2.94,2.23
Total,20.56,19.97,24.37,,12.89,24.88,25.26,23.21
,,,,,,,,
TYRain_1910-1919_16_pt1/088,,,,,,,,
TYRain_1920-1930_17_pt1/076,,,,,,,,
,,,,,,,,
"# The observer, Mr Hodgson, recorded readings at the nearby cemetery site for about 30 years before this.",,,,,,,,
"# British Rainfall lists the 1917-1919 Alford/Hodgson records as 'Finsbery Street' - this is not shown on the 1910s rainfall sheet, which is just labelled 'Cemetery'.",,,,,,,,
#,,,,,,,,
# The church and railway directions on the 1910s sheet do not match Finsbury Street or Cemetery locations.,,,,,,,,
"# They indicate a location somewhere in the West Street vicinity, possibly the nearby allotments (TF452760).",,,,,,,,
# The grid reference for Finsbury Street is given as the main grid reference above.,,,,,,,,
