LEEK-MERMAID-INN,,,,,,,,,,
Grid ref,SK038605,Long,-1.944647,Lat,53.141636,Elevation,1471,ft.,,
Station no,2373/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.9,4.65,4.5,7
February,,,,,,,2.9,7.4,1.35,3.2
March,,,,,,,4.75,2.45,2.6,2.25
April,,,,,,,0.4,2,3.3,2.5
May,,,,,,,1.75,4.5,0.5,2.3
June,,,,,,,,6.65,2.05,2.5
July,,,,,,6.5,6.55,6.55,2.9,5.8
August,,,,,,9.45,,4.4,0.3,5.6
September,,,,,,4.3,10.45,6.55,0.3,5.1
October,,,,,,3.35,3.8,5.65,3.8,7.7
November,,,,,,2.35,2.35,2,5.5,6.1
December,,,,,,4.85,4.95,4.5,7.2,4.6
Total,,,,,,,,57.3,34.3,54.65
,,,,,,,,,,
NGR is from the 1950s record and is near the Mermaid Inn.,,,,,,,,,,
Stated altitude is 50 ft too high or the gauge is 200m SW to match the altitude and is beside the Inn.,,,,,,,,,,
"MIDAS src_id 3157 ends 1983 and palces the gauge 140m SW, closer to the Inn",,,,,,,,,,
