CARRBRIDGE MANSE,,,,,,,,,,
Grid ref,NH 90583 22692,Long,-3.816623,Lat,57.281712,Elevation,850,ft,,
Station no,5700,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.16,1.31,1.07,2.88,2.65,4.38,3.44,3.44,3.04
February,,2.74,1.37,2.33,2.12,3,3.6,0.96,2.15,0.61
March,,2.09,1.65,3.94,2.93,1.96,2.21,2.12,1.05,3.33
April,,1.33,1.28,1.14,1.21,3.5,1.82,2.6,1.35,3.71
May,,0.8,2.35,1.06,3.67,1.3,3.47,1.89,1.38,0.36
June,,2.54,2.94,2.9,2.16,0.49,4.7,2.33,1.36,3.48
July,,1.88,1.98,1.88,2.8,4.07,3.64,1.72,6.07,
August,,1.26,3.27,1.18,2.51,1.85,2.77,4.96,3.66,2.09
September,,0.93,1.58,1.98,1.55,5.03,1.52,1.76,,
October,,2.47,2.67,0.85,0.85,1.23,4.56,3.74,2.97,
November,,6.61,3.3,1.79,5.24,4.65,3.23,4.53,1.08,
December,,2.11,3.67,2.97,4.02,3.96,1.86,1.8,1.85,
Total,,25.92,27.37,23.09,31.94,33.69,37.76,31.85,,
,,,,,,,,,,
1918 S +T deleted Est,,,,,,,,,,
