KIRKCUDBRIGHT ST MARY'S ISLE - roof gauge,,,,,,,,,,
Grid ref,NX675494,Long,-4.063819,Lat,54.82187,Elevation,0,ft,,
Station no,RR1113,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,5.3,5.35,3.1,2.9,4.53,3.04,3
February,,,,2.95,6.35,3.1,1.2,1.67,1.55,3.08
March,,,,1.65,3.15,3.9,3.5,2.07,2.58,3
April,,,,2.6,1,2.8,1,2.85,1.81,2.11
May,,,,1.2,2.25,2.33,4.07,1.17,2.71,2.55
June,,,,2.3,0.35,1,0.07,0.45,2,0.45
July,,,,1.6,4.1,2.05,3.1,3.35,5.5,3.57
August,,,,4.75,1.9,2.05,2.5,3.35,3.45,4.05
September,,,,3.05,2.85,5.8,6.04,4.31,2,3.45
October,,,,3,2.6,3.8,4.03,2.2,2.2,3.53
November,,,,4.9,1.9,2.53,5.04,5.03,7.09,3.45
December,,,,2.85,3.9,1.55,6.02,4.06,4.6,3.07
Total,,,,36.15,35.7,34.01,39.47,35.04,38.53,35.31
,,,,,,,,,,
TYRain_1880-1889_14_pt1-page-014.csv,,,,,,,,,,
