COALVILLE-BARDON-HILL-WW,,,,,,,,,,
Grid ref,SK449130,Long,-1.3368081,Lat,52.712805,Elevation,520,ft,,
Station no,RR7592,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,1.81,0.72,4,3.63,1.41,,,,,
February,2.26,1.69,1.5,0.88,1.39,,,,,
March,0.67,1.7,3.13,3.77,2.53,,,,,
April,2.23,0.84,0.25,2.59,1.32,,,,,
May,2.34,0.99,2.55,2.14,1.98,,,,,
June,1.35,2.02,4.72,1.05,2.55,,,,,
July,2.72,0.15,3.89,1.07,4.23,,,,,
August,3.61,2.44,7.15,1.8,1.96,,,,,
September,1.01,1.68,1.05,2.99,0.72,,,,,
October,1.77,2.07,3.03,4.09,2.12,,,,,
November,5.08,2.27,1.89,2.58,4.03,,,,,
December,5.85,4.7,4,0.98,5.85,,,,,
Total,30.7,21.27,37.16,27.57,30.09,,,,,
