"STANDISH, NR WIGAN",,,,,,,,,,,,,,,,,,,,
Grid ref,SD569098,Long,-2.6524863,Lat,53.583007,Elevation,285,ft,,,,,,,,,,,,
Station no,RR1949,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,1.86,2.12,4.14,2.04,4.07,4.46,2.3,2.94,4.65,,,
February,,,,,,,,,0.01,2.68,1.33,4.09,0.86,1.11,2.5,3.12,4.47,,,
March,,,,,,,,,2.55,4.1,4.78,6.17,4.15,1.66,3.12,1.99,2.14,,,
April,,,,,,,,,3.38,4.35,1.09,2.11,3.24,1.26,1.85,1.98,0.53,,,
May,,,,,,,,,3.19,0.29,4.42,1.66,4.39,2.82,2.39,3.96,1.86,,,
June,,,,,,,,,1.7,2.28,6.78,4.45,4.83,5.49,4.14,0.53,5.14,,,
July,,,,,,,,,3.91,1.66,2.49,5.71,4.54,1.79,2.49,3.88,3.05,,,
August,,,,,,,,,3.67,6.2,7.1,3.94,4.09,4.91,2.19,5.1,5.34,,,
September,,,,,,,,,5.16,5.26,2.9,7.08,4.9,6.77,4.67,0.43,7.52,,,
October,,,,,,,,,4,2.71,4.96,2.8,7.13,7.02,2.36,4.99,3.06,,,
November,,,,,,,,,2.22,2.48,3.29,5.08,2.43,4.21,4.56,3.3,5.98,,,
December,,,,,,,,,4.45,3.22,2.76,2.5,4.38,3.2,2.22,1.26,4.42,,,
Total,,,,,,,,,36.1,37.35,46.04,47.63,49.01,44.7,34.79,33.48,48.16,,,
,,,,,,,,,,,,,,,,,,,,
"Observer J.L. Hunter lived at Grove Road, Standish in 1861. A Civil Engineer.",,,,,,,,,,,,,,,,,,,,
Grove Road is quite steep running from 275' at the eastern end to 370' at the west end,,,,,,,,,,,,,,,,,,,,
NGR for east end of Grove Rd assuming that the gauge was at his house,,,,,,,,,,,,,,,,,,,,
"An alternative location could be the Filter Beds of Sewage Farm, some 400m east. At SD572098",,,,,,,,,,,,,,,,,,,,
