"PORTLAW, WATERFORD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IS4628415472,Long,-7.3223394,Lat,52.289287,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,3.1,4.8,4.1,3.2,6.5,5.9,5.7,3.35,3.49,4.22,8.94,6.2,6.17,7.26,0.45,4.97,2.5,1.75,3.83,7.5,4.36,9.43,3.6,6.06,4.03,7.01,3.81,6.21,7.35
February,,6,5.6,2.5,4.4,2,2.3,2.1,3.94,1.47,2.76,1.66,2.01,1.08,1.13,1.81,4.76,2.31,5.08,2.11,1.92,4.37,1.81,1.44,2.38,3.08,3.22,3.55,2.59,3.26
March,,4.7,4.8,3.1,3.4,2,5.4,2.8,2.89,1.38,1.43,3.91,2.15,3.34,1.27,3.78,1.67,5.05,1.09,3.43,2.84,3.85,4.68,5.38,3.66,2.19,4.47,5.67,3.67,3.88
April,,2.4,0.6,4.7,1.4,3,6,2.9,4.33,5.4,6.65,2.29,1.29,2.52,0.3,1.24,3.43,2.73,7.95,4.73,1.44,2.31,4.99,1,1.45,1.85,2.66,3.55,3.46,
May,,3.5,2.7,3.9,0.36,1.5,2.3,5.2,0.83,4,1.41,2.04,2.45,1.46,3.65,4.68,5.5,0.79,3.19,0.66,3.92,0.48,3.39,1.9,1.94,5.12,1.34,5.3,2.76,2.37
June,,2.5,3.6,3.4,3.15,3.7,2.5,2.1,2.4,0.58,1.72,3.92,7.35,2.94,5.05,2.85,0.68,2.99,1.64,0.43,5.68,5.03,4.08,2.69,2.16,0.59,5.3,2.46,1.35,0.11
July,,2.7,5,2.8,3,3.4,3.28,1.8,3.78,3.03,3.63,2.55,1.02,3.79,4.53,3.77,0.52,2.81,2.34,2.47,1.97,6.85,3.67,1.48,1.28,4.4,0.57,3.51,1.29,
August,,5.2,2,3.7,3.75,2.7,5.16,2.2,6.55,3.4,1.66,2.45,3.56,2.99,2.02,5.75,2.94,2.81,2.25,4.8,7.12,4.52,2.61,4.84,1.12,4.71,3.56,3.42,6.64,0.83
September,,4.2,4,3.5,2.9,3,2.86,1.6,4.94,5.88,2.55,1.59,1.88,2.92,1.35,1.96,3.74,4.71,3.3,6.88,2.09,6.1,2.33,3.48,3.77,0.51,4.46,2.23,6.56,
October,,6.3,0.6,4,8.63,4.1,7.05,4.2,1.46,6.95,1.29,3.56,3.13,9.2,3.22,2.79,4.2,4.38,1.82,3.97,2.99,4.08,4.42,8.26,5.54,4.29,2.86,4.57,3.3,0.76
November,,5.5,7.3,5.2,6,5.7,6.15,4.6,3,3.59,4.88,0.68,11.76,4.67,1.29,2.49,0.74,3.49,3.02,4.48,5.4,3.3,2.64,4.81,6.36,8.75,2.65,1.51,4.54,2.21
December,,4,4.8,2,3.36,2.2,0.95,10.8,7.09,5.53,5.73,3.09,8.49,2.1,1.45,4.44,4.75,3.17,5.63,4.8,3.84,4.06,6.05,2.86,4.55,7.73,3.14,1.56,9.43,4.97
Total,33.9,50.1,45.8,42.9,43.55,39.8,49.85,46,44.56,44.7,37.93,36.68,51.29,43.18,32.52,36.01,37.9,37.74,39.06,42.59,46.71,49.31,50.1,41.74,40.27,47.25,41.24,41.14,51.8,34.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1869 various estimates and adjustments - gauge neglected but total ""I think the total correct""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No indication of precise locations in records other than gauge in ""gorge where two lofty ranges of hills converge"" and at ?50 feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The River Clodiagh is in a gorge from Portlaw westwards but soon reaches above 50 feet in elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR taken as Springfield House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
