INVERMEARAN (NEW SITE),,,,,,,,,,
Grid ref,NN402419,Long,-4.600572,Lat,56.541843,Elevation,1200,ft,,
Station no,5557/2/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,7.58,4.45,8.79
February,,,,,,,,4.97,6.45,8.5
March,,,,,,,,3.24,9.4,3.41
April,,,,,,,,5.69,7.8,11.89
May,,,,,,,,7.72,3.85,4.95
June,,,,,,,,2.91,6.7,4.9
July,,,,,,,,4.24,6.8,5.65
August,,,,,,,,8.43,7.7,5.2
September,,,,,,,6.27,8.72,4.8,5.3
October,,,,,,,14.58,11.15,12.7,7.02
November,,,,,,,3.83,3,11.65,12.2
December,,,,,,,15.91,8.8,13.66,12.21
Total,,,,,,,,76.45,95.96,90.02
,,,,,,,,,,
BR 1958 P () Nov Dec Estd,,,,,,,,,,
,,,,,,,,,,
Station no,5557/2/4,,,,,,,,,
Midas,15121,,,,,,,,,
Hyd Stn,862297,,,,,,,,,
