Rainfall at,DUNNET HEAD
,
Station no,5814,
,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,1.30,1.76,1.53,2.11,2.26,1.93,3.00,4.23,4.96,3.67,
February,2.98,1.62,1.59,1.36,2.91,2.06,2.00,2.07,1.38,1.71,
March,1.65,0.68,1.34,1.08,2.75,2.65,2.27,1.56,3.94,1.83,
April,1.02,1.01,1.58,1.26,1.97,2.54,2.32,1.55,2.14,1.91,
May,0.73,1.63,1.12,1.49,2.64,0.99,1.34,1.37,2.91,0.46,
June,0.29,1.53,0.70,1.58,2.10,2.00,1.47,1.10,0.88,3.15,
July,2.39,2.34,1.63,1.98,3.14,3.90,1.12,1.69,2.10,0.54,
August,4.48,1.63,1.81,1.90,2.39,2.53,0.09,2.98,3.93,1.66,
September,1.28,2.72,2.71,3.62,3.82,3.53,4.86,3.58,2.19,5.96,
October,3.57,3.96,1.80,3.73,3.97,0.45,2.01,5.29,1.86,2.20,
November,3.41,1.83,3.23,5.21,2.03,3.64,5.19,2.42,3.29,3.03,
December,2.92,2.18,1.60,3.71,6.70,3.45,4.58,3.53,4.19,1.42,
Total,26.02,22.89,20.64,29.03,36.68,29.67,30.25,31.37,33.77,27.54,
Calc annual,26.02,22.89,20.64,29.03,36.68,29.67,30.25,31.37,33.77,27.54,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
